id,value
TemporaryArchitecture.arts.Pages&nbsp;Mural,336
TemporaryArchitecture.arts.pallet&nbsp;pavillion,52
TemporaryArchitecture.arts.Phoenix&nbsp;Wall,284
TemporaryArchitecture.arts.RDUnit,16
TemporaryArchitecture.arts.Reentry,184
TemporaryArchitecture.arts.RentClub,14
TemporaryArchitecture.arts.Scaffold&nbsp;Pav,324
TemporaryArchitecture.arts.Scape,104
TemporaryArchitecture.arts.Social&nbsp;Soup,330
TemporaryArchitecture.arts.Stand&nbsp;Your&nbsp;Ground,162
TemporaryArchitecture.arts.SteepPeople,110
TemporaryArchitecture.arts.Tati,12
TemporaryArchitecture.arts.Te&nbsp;Ariki&nbsp;,266
TemporaryArchitecture.arts.Thinking&nbsp;Outside&nbsp;the&nbsp;Square,352
TemporaryArchitecture.arts.Three&nbsp;Wise&nbsp;Men,254
TemporaryArchitecture.arts.Transitional&nbsp;Audio&nbsp;Tour,374
TemporaryArchitecture.arts.Udder,252
TemporaryArchitecture.arts.Unauthorised&nbsp;Personal&nbsp;,334
TemporaryArchitecture.arts.UpontheUplandRoad,258
TemporaryArchitecture.arts.Urban&nbsp;Poetry,182
TemporaryArchitecture.arts.viewfromthestudio,32
TemporaryArchitecture.arts.We&nbsp;Love&nbsp;Pop&nbsp;Up,122
TemporaryArchitecture.arts.Why&nbsp;is&nbsp;this&nbsp;real&nbsp;not&nbsp;that?,68
TemporaryArchitecture.arts.Wonky&nbsp;Peterborough,82
TemporaryArchitecture.civic,
TemporaryArchitecture.civic.Arcades&nbsp;Project,152
TemporaryArchitecture.civic.Canterbury&nbsp;Quakes,348
TemporaryArchitecture.civic.Christchurch&nbsp;Stadium,270
TemporaryArchitecture.civic.colombo&nbsp;street&nbsp;,44
TemporaryArchitecture.civic.Community&nbsp;Hub_Sumner,220
TemporaryArchitecture.civic.Lyttelton&nbsp;Downhill,364
TemporaryArchitecture.civic.Quake&nbsp;City,342
TemporaryArchitecture.civic.Quake&nbsp;Map,344
TemporaryArchitecture.civic.rebuild&nbsp;central,38
TemporaryArchitecture.civic.reconstruction&nbsp;of&nbsp;a&nbsp;city,48
TemporaryArchitecture.civic.red&nbsp;zone,134
TemporaryArchitecture.civic.Share&nbsp;An&nbsp;Idea,274
TemporaryArchitecture.civic.temporary&nbsp;bus&nbsp;exchange,46
TemporaryArchitecture.civic.Temporary&nbsp;Cathedral,88
TemporaryArchitecture.civic.Temporary&nbsp;Housing,280
TemporaryArchitecture.civic.temporary&nbsp;libraries,40
TemporaryArchitecture.civic.temporary&nbsp;oxford&nbsp;street,42
TemporaryArchitecture.civic.The&nbsp;frame,136
TemporaryArchitecture.civic.Think&nbsp;Differently&nbsp;Book&nbsp;Exchange,166
TemporaryArchitecture.commercial,
TemporaryArchitecture.commercial.Bobo,150
TemporaryArchitecture.commercial.Box&nbsp;Quarter,148
TemporaryArchitecture.commercial.Dairy&nbsp;Container_Colombo&nbsp;Street,188
TemporaryArchitecture.commercial.Epic,8
TemporaryArchitecture.commercial.Jungle&nbsp;Patrol,126
TemporaryArchitecture.commercial.LIVS&nbsp;HQ,64
TemporaryArchitecture.commercial.luxcity,50
TemporaryArchitecture.commercial.OutoftheBox,218
TemporaryArchitecture.commercial.Plume,124
TemporaryArchitecture.commercial.Porthole,278
TemporaryArchitecture.commercial.RDUnit,16
TemporaryArchitecture.commercial.Restart,10
TemporaryArchitecture.commercial.SamoCafe,96
TemporaryArchitecture.commercial.Smash&nbsp;Palace,198
TemporaryArchitecture.commercial.The&nbsp;Flying&nbsp;Cup,262
TemporaryArchitecture.commercial.The&nbsp;frame,136
TemporaryArchitecture.commercial.TheVillageGrape,226
TemporaryArchitecture.commercial.Wikihouse,144
TemporaryArchitecture.education,
TemporaryArchitecture.education.500&nbsp;Days&nbsp;Churchill&nbsp;park,212
TemporaryArchitecture.education.BMX_Track,206
TemporaryArchitecture.education.Chch-ThroughMyEyes&nbsp;,346
TemporaryArchitecture.education.Christchurch_A&nbsp;boardgame,214
TemporaryArchitecture.education.clean&nbsp;up
TemporaryArchitecture.education.clean&nbsp;up.SVA_Cleanup,232
TemporaryArchitecture.education.CPIT&nbsp;DesignSLASHBuild,164
TemporaryArchitecture.education.Foamapalooza,216
TemporaryArchitecture.education.Four&nbsp;Corners&nbsp;Youth&nbsp;Space&nbsp;,204
TemporaryArchitecture.education.Green&nbsp;Frame&nbsp;Exhibition,338
TemporaryArchitecture.education.infogap,28
TemporaryArchitecture.education.Kirkwood&nbsp;Village,92
TemporaryArchitecture.education.Lions&nbsp;Transitional&nbsp;Facility,228
TemporaryArchitecture.education.luxcity,50
TemporaryArchitecture.education.my&nbsp;word&nbsp;is&nbsp;yours,36
TemporaryArchitecture.education.Reentry,184
TemporaryArchitecture.education.Schools&nbsp;Combinations,282
TemporaryArchitecture.education.St&nbsp;Lukes&nbsp;Labyrinth,210
TemporaryArchitecture.education.Street&nbsp;Football,208
TemporaryArchitecture.education.SVA_TheConcert,234
TemporaryArchitecture.education.Te&nbsp;Ariki&nbsp;,266
TemporaryArchitecture.education.UCSA,240
TemporaryArchitecture.education.We&nbsp;Love&nbsp;Pop&nbsp;Up,122
TemporaryArchitecture.festival,
TemporaryArchitecture.festival.Breaking&nbsp;Wonderful,356
TemporaryArchitecture.festival.Buskers&nbsp;Festival,94
TemporaryArchitecture.festival.Dino&nbsp;Sauna,186
TemporaryArchitecture.festival.Earthquake&nbsp;in&nbsp;Chile,246
TemporaryArchitecture.festival.Gap&nbsp;Filler&nbsp;Fun&nbsp;Fair,160
TemporaryArchitecture.festival.GapFiller_1,154
TemporaryArchitecture.festival.luxcity,50
TemporaryArchitecture.festival.pallet&nbsp;pavillion,52
TemporaryArchitecture.festival.Scape,104
TemporaryArchitecture.festival.Songs&nbsp;For&nbsp;Christchurch,380
TemporaryArchitecture.festival.Stand&nbsp;Your&nbsp;Ground,162
TemporaryArchitecture.festival.SVA_TheConcert,234
TemporaryArchitecture.informal,
TemporaryArchitecture.informal.Occupy&nbsp;Christchurch,56
TemporaryArchitecture.post-disaster,
TemporaryArchitecture.post-disaster.185&nbsp;Empty&nbsp;Chairs&nbsp;,100
TemporaryArchitecture.post-disaster.Container&nbsp;Love,378
TemporaryArchitecture.post-disaster.CPIT&nbsp;DesignSLASHBuild,164
TemporaryArchitecture.post-disaster.Crux,256
TemporaryArchitecture.post-disaster.Cycle&nbsp;Powered&nbsp;Cinema,176
TemporaryArchitecture.post-disaster.Events&nbsp;Village,272
TemporaryArchitecture.post-disaster.Flowers&nbsp;in&nbsp;road&nbsp;cones,230
TemporaryArchitecture.post-disaster.GapFiller_1,154
TemporaryArchitecture.post-disaster.Great&nbsp;Depression,332
TemporaryArchitecture.post-disaster.Jungle&nbsp;Patrol,126
TemporaryArchitecture.post-disaster.Ortzeit,156
TemporaryArchitecture.post-disaster.portaloos,58
TemporaryArchitecture.post-disaster.portaloos&nbsp;sumner,60
TemporaryArchitecture.post-disaster.red&nbsp;zone,134
TemporaryArchitecture.post-disaster.RentClub,14
TemporaryArchitecture.post-disaster.River&nbsp;of&nbsp;flowers,54
TemporaryArchitecture.post-disaster.SVA_Cleanup,232
TemporaryArchitecture.post-disaster.SVA_TheConcert,234
TemporaryArchitecture.post-disaster.Think&nbsp;Differently&nbsp;Book&nbsp;Exchange,166
TemporaryArchitecture.protest,
TemporaryArchitecture.protest.100&nbsp;days&nbsp;to&nbsp;reclaim&nbsp;democracy,26
TemporaryArchitecture.protest.Cardencity,250
TemporaryArchitecture.protest.Occupy&nbsp;Christchurch,56
TemporaryArchitecture.regeneration,
TemporaryArchitecture.regeneration.500&nbsp;Days&nbsp;Churchill&nbsp;park,212
TemporaryArchitecture.regeneration.Arcades&nbsp;Project,152
TemporaryArchitecture.regeneration.Art&nbsp;Beat,316
TemporaryArchitecture.regeneration.Art&nbsp;box,142
TemporaryArchitecture.regeneration.Knit&nbsp;Happens,264
TemporaryArchitecture.regeneration.Transitional&nbsp;Audio&nbsp;Tour,374
TemporaryArchitecture.regeneration.BeachGarden,308
TemporaryArchitecture.regeneration.BMX_Track,206
TemporaryArchitecture.regeneration.Box&nbsp;Quarter,148
TemporaryArchitecture.regeneration.Brighton&nbsp;Up,120
TemporaryArchitecture.regeneration.busExchangeSeats,294
TemporaryArchitecture.regeneration.Buskers&nbsp;Festival,94
TemporaryArchitecture.regeneration.Butterfly_Gap,192
TemporaryArchitecture.regeneration.CarParkFrontage,292
TemporaryArchitecture.regeneration.CCC_TemporaryFurniture,268
TemporaryArchitecture.regeneration.ChapmansHomer,112
TemporaryArchitecture.regeneration.Christchurch_A&nbsp;boardgame,214
TemporaryArchitecture.regeneration.CoffeeZone,300
TemporaryArchitecture.regeneration.colombo&nbsp;street&nbsp;,44
TemporaryArchitecture.regeneration.Community&nbsp;Chess,172
TemporaryArchitecture.regeneration.Cycle&nbsp;Powered&nbsp;Cinema,176
TemporaryArchitecture.regeneration.DairyGarden,298
TemporaryArchitecture.regeneration.Dance_o_mat,178
TemporaryArchitecture.regeneration.Epic,8
TemporaryArchitecture.regeneration.Events&nbsp;Village,272
TemporaryArchitecture.regeneration.Film&nbsp;in&nbsp;the&nbsp;Gap,158
TemporaryArchitecture.regeneration.Fitzgerald&nbsp;Community&nbsp;Garden,304
TemporaryArchitecture.regeneration.Foamapalooza,216
TemporaryArchitecture.regeneration.Four&nbsp;Corners&nbsp;Youth&nbsp;Space&nbsp;,204
TemporaryArchitecture.regeneration.Gap&nbsp;Filler&nbsp;Office,174
TemporaryArchitecture.regeneration.GapFiller_1,154
TemporaryArchitecture.regeneration.GapFiller_Kaiapoi,190
TemporaryArchitecture.regeneration.GapGolf,180
TemporaryArchitecture.regeneration.LIVS&nbsp;HQ,64
TemporaryArchitecture.regeneration.LPC,168
TemporaryArchitecture.regeneration.luxcity,50
TemporaryArchitecture.regeneration.Lyttelton&nbsp;Downhill,364
TemporaryArchitecture.regeneration.Mural&nbsp;Madness,118
TemporaryArchitecture.regeneration.Ortzeit,156
TemporaryArchitecture.regeneration.Outdoormusicroom,302
TemporaryArchitecture.regeneration.pallet&nbsp;pavillion,52
TemporaryArchitecture.regeneration.PikoPopUpShop,296
TemporaryArchitecture.regeneration.portaloos,58
TemporaryArchitecture.regeneration.reconstruction&nbsp;of&nbsp;a&nbsp;city,48
TemporaryArchitecture.regeneration.Reentry,184
TemporaryArchitecture.regeneration.Restart,10
TemporaryArchitecture.regeneration.Rotherdam&nbsp;Clock&nbsp;Park,310
TemporaryArchitecture.regeneration.Salisbury&nbsp;St&nbsp;Garden,306
TemporaryArchitecture.regeneration.Samo&nbsp;Cafe,96
TemporaryArchitecture.regeneration.Scaffold&nbsp;Pav,324
TemporaryArchitecture.regeneration.Social&nbsp;Soup,330
TemporaryArchitecture.regeneration.Songs&nbsp;For&nbsp;Christchurch,380
TemporaryArchitecture.regeneration.St&nbsp;Lukes&nbsp;Labyrinth,210
TemporaryArchitecture.regeneration.SteepPeople,110
TemporaryArchitecture.regeneration.Street&nbsp;Football,208
TemporaryArchitecture.regeneration.Sumner&nbsp;Skate&nbsp;Park,202
TemporaryArchitecture.regeneration.Tati,12
TemporaryArchitecture.regeneration.temporary&nbsp;bus&nbsp;exchange,46
TemporaryArchitecture.regeneration.temporary&nbsp;oxford&nbsp;street,42
TemporaryArchitecture.regeneration.The&nbsp;Flying&nbsp;Cup,262
TemporaryArchitecture.regeneration.The&nbsp;frame,136
TemporaryArchitecture.regeneration.Thinking&nbsp;Outside&nbsp;the&nbsp;Square,352
TemporaryArchitecture.regeneration.Urban&nbsp;Poetry,182
TemporaryArchitecture.regeneration.VictoriaGreen,290
TemporaryArchitecture.regeneration.We&nbsp;Love&nbsp;Pop&nbsp;Up,122
